index,title,date
1902,Wholesale Gas Prices Surge. ,1990-07-10
1884,Residents Question Refinery Representatives. ,1990-07-12
1882,Cabinet Deregulates Oil Prices. By Ramon Tomelddh. ,1990-07-12
1892,Bacteria Role Hailed In Gulf Oil Cleanup. ,1990-07-13
1914,Oil Firms Driven To Clean Up Acts. ,1990-07-13
1849,Other Side Of The Gasoline Controversy. ,1990-07-14
1910,Conoco Wins State Approval To Build Plant. ,1990-07-14
1872,Oil Prices Soar On Saudi Decision ,1990-07-14
1843,Gas Prices In Lexington Area Match The National Average. ,1990-07-16
1926,Oil-Hungry Microbes Face First Big Test At Alaska Oil Spill. ,1990-07-16
1840,"The Victoria Advocate, July 17, Oil Futures Higher; ... ",1990-07-17
1860,Local Stocks. ,1990-07-18
1921,The Argus-Press ,1990-07-18
1911,Oil-Processing Units Completed. By The Associated. Press ... ,1990-07-18
1899,Units Shipped To Alaska. Workers Finish Oil Modules. ,1990-07-18
1837,Crude Oil Prices Drop. ,1990-07-18
1861,Questor Drilling Sold; Expansion Seen. ,1990-07-20
1923,Crude Oil Futures Mostly Higher. ,1990-07-21
1846,Crude Oil Futures Rise. ,1990-07-21
1879,Crippled Tanker Loses Oil. ,1990-07-22
1928,Threats From Iraq Casting Shadow On Opec Meeting. ,1990-07-23
1929,"Gas Prices Hold Steady, Cheaper Crude Oil Cited. ",1990-07-23
1889,Sarasota Herald-Tribune ,1990-07-24
1912,Kuwaiti Minister Confident Of Talks. ,1990-07-24
1858,Opec Ministers Gather For Critical Talks. ,1990-07-24
1876,Oil Futures Advance; Opec Agreement Nears. ,1990-07-24
1853,Oil Firms Profits Mixed. ,1990-07-24
1888,The Union Democrat ,1990-07-25
1851,Political Tensions Rise As Opec Gathers. ,1990-07-25
1907,Soybean Futures Tumble. ,1990-07-25
1855,Opec Ministers Gather For Oil Talks. ,1990-07-26
1830,Oil Prices Fall For Pledge. Markets Respond To Iraq's Vow Of ,1990-07-26
1875,Exciting Mix Of Both Worlds. ,1990-07-26
1874,Feds Won't Probe Idaho Gas Prices. ,1990-07-26
1881,Opec Ministers Clinch Deal To Raise Prices By $3 A Barrel. ... ,1990-07-26
1915,Let's Resist Iraq Threat To Kuwait. ,1990-07-26
1864,Opec Ministers In Talks That Could Lead To Oil Price Increase,1990-07-26
1903,"Opec Agrees To Cut Output, Raise Oil Price. ",1990-07-26
1859,Opec Ministers Hold Key Meeting. ,1990-07-26
1913,Opec Ministers Ok Higher Price For Oil. ,1990-07-27
1916,House-Senate Panel Approves Oil Spill Bill. By George Lobsenz,1990-07-27
1900,Opec Erst Quick To Reach Agreement. ,1990-07-27
1832,Experts Foresee Gasoline Price Hike. ,1990-07-27
1841,New York Stock Exchange... Price Of Oil May Increase By 1991,1990-07-27
1852,Opec Close To Agreement On Oil Production Ceiling. ,1990-07-27
1857,Opec Settles On Crude Oil Price. ,1990-07-27
1863,Iraq Urges Opec To Raise Oil Prices. ,1990-07-27
1865,Opec Ministers Agree To Raise Cartel's Crude Oil Target Price,1990-07-27
1862,Opec Leaders Agree On Hike In Oil Prices. ,1990-07-27
1908,Bill Would Create 7 Billion Spill Cleanup Fund. ,1990-07-27
1871,"4c Lewiston Tribune Tribunefriday, July 27, 1990. Feds Won't ",1990-07-27
1877,Opec Ministers Reach Preliminary Agreement To Boost Crude ,1990-07-27
1893,"Opec Tightens Grip, Raises Prices. ",1990-07-27
1895,Opec ,1990-07-27
1869,"Texas Oil Spill Spreads, Double-Hull Tanker Lessens ... ",1990-07-30
1938,Crude Oil Prices Breaking New Ground. ,1990-10-10
1931,Crude Oil Price Hits Record High. ,1990-10-10
1939,Oil Prices Close At Record Levels. ,1990-10-10
1936,Saddam's Threat To Use Missiles Makes Oil Futures Top $40. ,1990-10-10
1930,Crude Oil Prices Swing Wildly. By Patrick Lee. ,1990-10-18
1933,Despite Wholesale Cost Decline. Little Chance For Gas ... ,1990-10-24
1935,Higher Oil Prices Will Boost Farm Costs. ,1990-10-24
1937,Oil Industry Reports Mixed Bag Of Profits And Losses. If ... ,1990-10-30
2004,Manufacturing Rising Oil Prices Save Factory Orders. ,1990-11-01
1976,Experts Say Outbreak Of War Could Easily Triple Oil Prices. ,1990-11-01
1970,Il Officials Say War Would Upset Prices. ,1990-11-01
2021,Oil Care The Iraqi Offer Of Holiday Visits Came Just Hours ... ,1990-11-01
1964,The Day The War Starts Prices Will Explode. ,1990-11-01
1984,Tripled ,1990-11-01
1994,Nation ,1990-11-01
1995,War's Toll: $3 A Gallon For Gasoline. ,1990-11-01
1997,Experts Say Gulf War Could Triple Oil Prices. ,1990-11-01
2003,Experts Say Gulf War Could Hike Gas Prices To $3 A Gallon ,1990-11-01
2006,Experts: Gulf War Could Triple Oil Prices To Us. ,1990-11-01
2010,War Could Triple Oil Prices. ,1990-11-01
1975,May Hike Gas To $3. ,1990-11-01
1950,The Aryan Times. Thursday November C900. Crude Oil. Pri ... ,1990-11-01
2008,Experts Say War In Gulf Could Triple Oil Prices. ,1990-11-01
2027,Gulf War Could Triple Oil Prices. ,1990-11-01
2022,Experts: War Could Triple Gas Prices At Pump. ,1990-11-01
2013,Industry Experts Say Gulf War Could Triple Price Of Oil. ,1990-11-01
2007,Experts Say Gulf War Could Triple Oil Prices. ,1990-11-01
2011,Explosion Of Oil Prices Likely In War. ,1990-11-01
1951,Foes Gathering Ammo For Fight Over Puget Sound Oil Pipeline,1990-11-04
1943,Energy Conservation Measures. ,1990-11-05
1960,Non-Opec Oil Output Falls In Third Quarter. ,1990-11-05
1991,Oil Prices May Settle As Trading Stabilizes. Strategists ... ,1990-11-06
1981,Oil Markets Calmer. Traders Less Influenced By War Rumors. ,1990-11-06
1980,Oil Prices Slide As Trading Frenzy Begins To Subside. ,1990-11-06
2012,Oil Markets Calmer. Traders Less Influenced By War Rumors. ,1990-11-06
1971,Prices Of Crude Oil Decline. ,1990-11-06
2045,Lawrence Journal-World ,1990-11-06
1962,Oil Prices Fall As Market Recovers From Gulf Jitters'. ,1990-11-06
1952,Saudi Output Undercuts Oil Prices. ,1990-11-06
1979,The Price Of Crude Oil. ,1990-11-07
1978,"Gas Prices Dip For Now, At Least. ",1990-11-07
2020,Urge ,1990-11-07
1941,New Oil Price Hike. By Villanueva The ,1990-11-08
1992,"Locally, Most Stations Have Not Yet Adjusted Their Prices. ",1990-11-08
1968,"World Oil Glut Should Drive Prices Down In Near Future, ... ",1990-11-09
1957,Oil Spokesman Strikes To Improve's Industry Image. ,1990-11-09
2038,Waging War With Iraq For Oil Won't Help America. ,1990-11-09
2039,Lodi News-Sentinel ,1990-11-09
1955,Oil Nrices Shoot Un. ,1990-11-09
1961,No Price Gouging. ,1990-11-10
1965,The Press-Courier ,1990-11-11
1947,Old Hand At... ,1990-11-11
1956,Oil Executive Disputes Price-Gouging Claims. ,1990-11-11
2016,The Indian Express ,1990-11-11
1958,Big Oil's Top Spokesman Accustomed To Criticism. ,1990-11-11
1982,Herald-Journal ,1990-11-11
1993,"Webster, Amoco Officials Plan To Meet Tuesday. ",1990-11-11
1942,Asean Oil Ministers Meet Here Tomorrow. Oil Ministers In The ,1990-11-12
2048,Commodities Review. ,1990-11-12
1972,Oil Futures Prices Fall. ,1990-11-12
2000,Iroquois Natural Gas Would Be Pegged To Fluctuating Oil Price,1990-11-13
1954,'De-Escalation Of War Premium'. Oil Drops $2 As War Seems ,1990-11-13
2026,Warning ,1990-11-13
1969,Warning ,1990-11-13
1974,Us Energy Official Sees No Fuel Price Gouging. ,1990-11-14
2001,Energy Department Finds No Gouging On Gas Profits. ,1990-11-14
2002,Official Sees No Gouging. ,1990-11-14
2041,Crude Solution ,1990-11-14
1953,"Aviation Fuel Costs Rise, Gas For Cars Stays Stable. ",1990-11-14
1966,Oil Energy Agency Doesn't Find Fuel Price Gouging. Industry ,1990-11-14
1946,"The Victoria Advocate, Wednesday, November 14, 1990-5b. Feds ",1990-11-14
1967,Agency Finds No Signs Of Gouging But Fuel Price Hikes Still ,1990-11-14
1948,Crude Oil Price Drops. ,1990-11-15
2049,Oil Prices Fall Slightly. ,1990-11-15
2023,Oil Spilled In North Atlantic. ,1990-11-16
2024,Iraq's Hussein Won't Budge. ,1990-11-16
2034,Norwegian Tanker Spills 4 Million Gallons Of Oil. ,1990-11-16
1963,Oil Prospectors Search Globe For New Sources Of Suppl. ,1990-11-16
2028,The Victoria Advocate ,1990-11-16
1945,Feeling Gouged At The Gas Pump? Industry If. It Spokesman ... ,1990-11-16
2032,Over 4 Million Gallons Of Oil Spilled. ,1990-11-17
2037,Tanker Spills Over 4 Million Gallons Of Oil State Revenue ... ,1990-11-17
2036,Tanker May Have Lost 6 Million Gallons Of Oil. ,1990-11-17
2031,Corrections ,1990-11-17
2033,Storm Cause Of Huge Oil Spill? ,1990-11-17
2018,In Brief. Tanker Spills Millions Of Crude. ,1990-11-17
2019,Crude Spills In Ocean ,1990-11-17
2015,Tanker Spills Oil In Ocean During Storm. ,1990-11-17
2014,Storm Causes Big Oil Spill Off Nova Scotia. ,1990-11-17
1999,Gadsden Times ,1990-11-17
1987,Big Crude Oil Spill Termed No. Danaei ,1990-11-18
1990,"Energy Report Says Oil Countries, Not Companies, Raking In ",1990-11-20
1959,"Oil Profits Mixed, Report Says. ",1990-11-20
1940,Oil Industry Officials Talk About Prices. ,1990-11-21
1989,Report Finds Only Minor Profit Increase For Us. Oil Firms. ,1990-11-21
1988,Oil Company Profits Announced. ,1990-11-21
2030,Oil-Producing Nations Rake In Profits. American Oil ... ,1990-11-22
2044,Consumer Groups Dispute Study Showing Modest Profit By Big Oil,1990-11-22
2043,"Oil-Producing Countries, Not Big Companies, Raking In Profits",1990-11-22
2025,Study: Big Oil Reaped Few Gains... Oil Countries Gain Most ,1990-11-22
2029,"Thursday, November. U, Oil-Producing Countries Rake In ... ",1990-11-22
2035,Herald-Journal ,1990-11-24
1985,Roads Raise Hopes. Public And Planners Link Expressways To ,1990-11-25
1977,"Oil Prices Could Drop, But Not To Old Levels. ",1990-11-26
2046,Saudis Can Thank Geology For Wealth. ,1990-11-26
2017,With Petroleum Minister. ,1990-11-27
1998,Researchers Studying Expanded Oil-Eating Bacteria. ,1990-11-29
2040,The Pittsburgh Press ,1990-11-30
2009,Researchers Studying Expanded Uses Of Oil-Eating Bacteria,1990-12-01
1973,Oil Prices Tumble As Bush Seeks Talk With Iraqis. ,1990-12-01
1983,Oil Prices Plunge As Bush Seeks Talks. ,1990-12-01
2055,Syrian Oil Strike Buoys Economy. ,1990-12-06
2054,Lieberman: They're Still Gouging Us. ,1990-12-13
2052,Lieberman Rips Oil Price Gap. ,1990-12-13
2050,As As State. Lieberman Says Gasoline Prices Should Come Down ,1990-12-13
2051,Plan For Second Oil Futures Market. ,1990-12-14
2057,Playing Musical Chairs In World Oil Market. ,1990-12-18
2053,Oil Prices Decline At Refinery But Not At The Gasoline Pumps. ,1990-12-23
2058,"Crude Oil Prices Take Plunge, But Pump Prices Drop Slowly. ",1990-12-23
2059,The Press-Courier ,1990-12-23
2056,"Oil Prices Down Dramatically At Refinery, Not At Gas Pumps. ",1990-12-24
2147,Shland Hopeful Despite Loss. ,1991-02-01
2129,Swings 011 Oil Puzzle Traders. ,1991-02-01
2128,Oil Prices Rise A Bit. ,1991-02-01
2127,Opec Trims Production As Demand Drops. Mi Said Saudi Arabia ,1991-02-05
2092,New Straits Times ,1991-02-05
2104,Gasoline ,1991-02-06
2162,Opec Trims Production As Demand Drops. ,1991-02-06
2148,War Shouldn't Hamper Kentucky's Energy Front. ,1991-02-07
2105,Oil Pipeline Proposal Eyes 18-Month Cycle. ,1991-02-08
2152,Star-News ,1991-02-08
2119,The News ,1991-02-09
2160,Opec Crude Oil Production Shows Decline. ,1991-02-12
2137,Crude Oil Prices Retreat. ,1991-02-12
2159,Opec's Crude Oil Production Drops Due To War. ,1991-02-12
2167,Opec Output Dips Due To War-Related Disruptions. ,1991-02-13
2161,The Indian Express ,1991-02-13
2111,War Outcome Could Slash High Oil Profits. ,1991-02-19
2155,Gasoline ,1991-02-20
2143,Gas ,1991-02-20
2144,Big Oil Touts Relative Price Of Gas. ,1991-02-20
2169,Gas Prices Lose Their Punch. ,1991-02-20
2145,The Daily Gazette ,1991-02-26
2118,Oil Prices Rebound. ,1991-02-26
2079,Big Oil Reaps Profits. ,1991-02-26
2151,"Kuwait Plans Recovery, Iraqi Fate Uncertain ",1991-02-28
2132,"Oil Prices Up, But Don't Blame War. ",1991-03-01
2126,Oil ,1991-03-01
2089,War Unlikely To Jolt Us. Into Changing Energy Policies. ,1991-03-01
2178,War Unlikely To Jolt Us. Into Changing Energy Policies. ,1991-03-01
2165,Cleanup Of Iraq Ecological Vandalism Is Daunting. ,1991-03-02
2150,Editorials Safer Tankers. ,1991-03-03
2114,Per Liter. The Refinery Processes The Crude Oil And By ... ,1991-03-03
2170,The Daily Gazette ,1991-03-05
2175,"Kit Victoria Advocate. Sunday, March. Hi Wartime Trading Of ",1991-03-17
2174,Futures ,1991-03-17
2179,"Oil Industry's Windfall Profits Fading Fast. Co Inc, A ... ",1991-03-20
2225,Iraq Takes Kuwait; Oil Prices Soar. ,1991-05-01
2240,Star-News ,1991-05-01
2275,Metals And Oil. ,1991-05-02
2272,Ethanol Gas Is Safe Says Kiwanis Guest. ,1991-05-02
2269,Alaska House Dumps Exxon Spill Settlement. ,1991-05-02
2252,Crude Oil Price. ,1991-05-02
2282,Energy Prices Shoot Up. ,1991-05-02
2242,"Frank Ikard, 78, Oil Lobbyist Former Texas Congressmar. ",1991-05-02
2187,Locals Awarded Shell Freights. ,1991-05-02
2277,Deregulation: Boon Or Bane? The Scrapping Of The Or Price ,1991-05-04
2273,Commodities ,1991-05-04
2202,Shell Finds Major Oil Field In Gulf Of Mexico. ,1991-05-04
2271,Jobs Report Confuses Wall Street. ,1991-05-04
2245,Bangladeshis Mill Around A Settlement On The Island Of ... ,1991-05-04
2204,"Major Oil Field Found In Gulf Of Mexico, Shell And Bp Say. ... ",1991-05-04
2279,Saddam ,1991-05-05
2230,The Week That Will. Be ,1991-05-06
2244,Ethanol Could Be Answer. ,1991-05-08
2289,Rules Awaited. ,1991-05-08
2188,Oil Officials Work To Contair Pipeline Leak. ,1991-05-08
2199,Centre Businessman Is Part Of Project Ro. ,1991-05-08
2208,Crude Oil Prices Rise. ,1991-05-08
2266,Exxon Executives Agree To Give Depositions. ,1991-05-11
2270,Exxon Brass To Give Depositions On Spill. ,1991-05-11
2257,Ocala Star-Banner ,1991-05-11
2262,Exxon Corp. Executives Agree To Give Depositions. ,1991-05-12
2246,Saudis Emerge With New Clout. ,1991-05-12
2182,Firm Faces Liability In Area Oil Spill. ,1991-05-13
2205,New Straits Times ,1991-05-13
2196,"Precious Metals, Oil. ",1991-05-14
2220,Haydee Yorac Said. Emu Miumi. One Saia Mere Are Two Ways I. ,1991-05-14
2213,Commodity Roundup. ,1991-05-14
2193,"Water Pollution Bills In Tion Regulations. That Tax, Al I. ... ",1991-05-15
2238,Energy Futures End Mixed. ,1991-05-17
2285,Commodities ,1991-05-17
2206,Federal Team To Probe Area Oil Spill. ,1991-05-17
2280,Gross Domestic Product Among The Highest. ,1991-05-17
2207,Manila Standard ,1991-05-17
2250,Malaysia Set To Be A Major Oil Producer. ,1991-05-22
2267,"Saudis Say Oil Still Leaking From Kuwaiti, Iraqi Ports. ",1991-05-22
2278,Involved In Oil Exploration Projects In The Philippines. ,1991-05-22
2235,Lewiston Morning Tribune ,1991-05-24
2253,Crude Oil Price. ,1991-05-24
2234,Economic Managers To Tinker With Called On The People To ,1991-05-26
2222,Pipeline Safety Concerns Spur Bills. ,1991-05-26
2231,Us Firms May Buy Country's Oil. ,1991-05-29
2241,Firms May Buy Iranian Oil . ,1991-05-29
2232,Us Companies Dealing For Iranian Oil. ,1991-05-29
2274,Briefly ,1991-05-29
2233,Us Companies Want Iranian Oil. ,1991-05-29
2299,Iraq: Us. Oil-Revenue Stance Unfair. ,1991-06-06
2294,Iraqi On Minister Calls Us. War Compensation Demand ... ,1991-06-06
2379,Domestic Oil Production Down. ,1991-07-02
2389,New York. ,1991-07-02
2409,Crude Oil Price. ,1991-07-02
2370,Oil Rises On Expectations. ,1991-07-02
2401,Voters Already Limit Terms. ,1991-07-03
2366,Craig Slammed For Blaming Conservationists For Oil Spill. ,1991-07-04
2356,Oil Spill Cleanup Near Park City Almost Finished. ,1991-07-04
2407,Oil Down In Heavy Selling. ,1991-07-04
2318,Victoria Area Rig Count. ,1991-07-06
2327,"More Pain, Then Gain For Commodity Markets. ",1991-07-06
2348,Used Oil Can Now Be Recycled. ,1991-07-07
2306,New Straits Times ,1991-07-08
2352,'No-New-Tax Session Was A False Billing. Budget Sneaks In ... ,1991-07-08
2349,'No-New-Tax Session Was A False Billing. Budget Sneaks In ... ,1991-07-08
2377,Huge Oil Deposit Reported In Colombia. ,1991-07-09
2378,Oil Deposit Reported. ,1991-07-09
2393,Oil Deposit Found In Columbia. ,1991-07-09
2408,Crude Oil Price. ,1991-07-10
2405,Precious Metal. ,1991-07-11
2340,Oil Prices Make Retreat. ,1991-07-12
2388,The Daily Gazette ,1991-07-13
2386,Sabah's $569m Trade Surplus. ,1991-07-13
2396,Exxon Valdez Cleanup Winds Down. ,1991-07-14
2383,"Nddb Chief Blames Guj. Govt, Centre For Nut Oil Price Rise. ",1991-07-14
2406,Spill Cleanup Wrapping Up After 3 Years. ,1991-07-15
2392,Hickel Has Signed Four More Bills Into Law. ,1991-07-15
2309,Big Import Of Crude Oil Planned. ,1991-07-16
2350,Oil Reaches Post-War High. ,1991-07-18
2341,Main Features Over The Next Five Years. ,1991-07-19
2317,Toledo Blade ,1991-07-19
2304,Irs Challenge Of Mobil Tied To Oil Prices. ,1991-07-19
2351,Corn Futures Keep Sliding Downward. ,1991-07-20
2358,Hart's Spill Bill Passes Vote. ,1991-07-20
2324,Sarasota Herald-Tribune ,1991-07-20
2344,Observer-Reporter ,1991-07-20
2314,Tanker Spills Oil Off Australian Coast. ,1991-07-21
2325,Eugene Register-Guard ,1991-07-21
2308,Oklahoma Crude Oil Prices Are Highest Since Gulf War. ,1991-07-21
2391,The Indian Express ,1991-07-23
2402,"Corn, Soybean Futures Climb. ",1991-07-23
2354,Waves Prevent Oil Spill Calamity. ,1991-07-23
2390,Winds Blow. Australian Spill Out To Sea. ,1991-07-23
2387,Kuwait To Resume Oil Exports. ,1991-07-24
2404,Kuwait To Resume Oil Shipment. ,1991-07-24
2311,"Esso's Profits Likely To Rise Further, Says Stockbroker. ",1991-07-24
2368,Kuwait To Resume Oil Exports. ,1991-07-24
2335,Kuwait Shipping Its First Oil Since War. ,1991-07-24
2359,1st Crude Export Since Occupation Is Planned. ,1991-07-25
2400,Kuwait To Resume Oil Shipment. ,1991-07-25
2363,Kuwait To Export First Oil Since War. ,1991-07-25
2382,Point Pleasant Register ,1991-07-25
2376,Kuwait To Resume Oil Exportation ,1991-07-25
2367,Kuwait To Resume Oil Exports. ,1991-07-25
2381,Oil Exports To Resume. ,1991-07-25
2337,Oil Futures Wait On Un. ,1991-07-26
2310,Kuwait Plans To Export Oil On Small Scale. ,1991-07-26
2307,Firm Cuts One Pipeline From Peninsula Project. ,1991-07-26
2302,Kuwait Starts Export Of Crude Oil. ,1991-07-26
2380,Lakeland Ledger ,1991-07-28
2403,Before ,1991-07-28
2398,"Ranging From Oil Spill Plans Tartan, Caller Id In Effect. ",1991-07-28
2394,Emirate Resumes Crude Oil Exports. ,1991-07-28
2372,Dousing Kuwait's Well Fires: A Week With The Firefighters. ,1991-07-28
2300,Kuwait Loads Up Tanker For First Time Since War. ,1991-07-28
2305,Kuwait Shipping Crude Oil For First Time Since War. ,1991-07-28
2319,Kuwait To Ship First Oil Since End Of Persian Gulf War. ,1991-07-28
2321,Kuwait Readies 1st Oil Shipment Since Gulf War. Country ... ,1991-07-28
2322,Kuwait Resumes Oil Exportation ,1991-07-28
2323,Kuwait Ready To Export Oil Again ,1991-07-28
2328,Kuwait Sending Its First Oil Shipment Out Since Beginning Of ,1991-07-28
2330,Kuwait Prepares First Oil Shipment. ,1991-07-28
2331,Kuwait Ready To Ship First Oil Since The War. ,1991-07-28
2332,Kuwait Shipping First Oil Since War. ,1991-07-28
2329,Kuwait Ships First Oil Since Start Of War In Persian Gulf. ,1991-07-28
2333,Kuwait Resumes Oil Shipments. ,1991-07-28
2361,Oil Exports Resume In Kuwait. ,1991-07-28
2342,"Reporter Washington, Pa Sunday, July 28, 1991 I. D Kuwait ... ",1991-07-28
2362,Kuwait Sending First Oil Shipment. ,1991-07-28
2334,Kuwait Prepares First Oil Shipment. ,1991-07-28
2373,"Oilfires Require Cool Heads. Both Brains, Brawn Needed To ... ",1991-07-29
2343,Kuwait Resumes Crude Exports. ,1991-07-29
2360,Hudson Valley Morning News ,1991-07-29
2371,Observer-Reporter ,1991-07-29
2365,International ,1991-07-29
2357,Petroleum ,1991-07-31
2320,Us Seeks Saudi Oil For Strategic Reserve. ,1991-07-31
2414,Technological Advances Spur On The Economy. ,1991-08-23
2417,State Agency To Study Puget Sound Oil Pipeline. ,1991-08-26
2419,State Agency To Conduct Study Of Puget Sound Oil Pipeline. ,1991-08-27
2418,State Agency To Study Puget Sound Oil Pipeline. ,1991-08-27
2411,New Straits Times ,1991-08-30
2450,Star-News ,1991-09-01
2462,Opec Output Hits 1 7-Month High. ,1991-09-01
2472,Kuwait's Oiggest On Refinery Begins Post-War Production ,1991-09-01
2426,Opec Production High. ,1991-09-03
2494,Crude Oil Price. ,1991-09-04
2525,Stock Index. ,1991-09-05
2495,Crude Oil Price. ,1991-09-05
2474,Oil Prices Slip Lower. ,1991-09-06
2524,Two Men Enter Innocent Pleas In Gulf Shores Condo Fraud. ,1991-09-07
2438,Oil Spill Contained Near Galveston Bay. ,1991-09-07
2443,Spill Contained Near Galveston Bay. ,1991-09-07
2493,Oil Prices Leave Losing Streak. ,1991-09-08
2475,Gushers And Dusters. ,1991-09-08
2461,Energy-Related Stocks Have Been Cooling Down. ,1991-09-09
2479,The Indian Express ,1991-09-09
2467,Croatia Strikes Back At Serbs By Shutting Down Oil Pipeline. ,1991-09-10
2496,Crude Oil Price. ,1991-09-10
2488,Withdrawa Orders Are Rejected. ,1991-09-10
2442,Iran Rumors Hit Oil Prices . ,1991-09-10
2469,Croatia Strikes Back At Serbs By Shutting Down Oil Pipeline. ,1991-09-11
2491,Oil Prices Edge Upward. ,1991-09-11
2423,Croatia Closes Down Oil Pipeline To Serbia. ,1991-09-12
2506,Panel Demands More Data In Probe Of Pipeline Firm. ,1991-09-12
2481,Defense Minister Rejects Order To Pull Back Troops. ,1991-09-12
2483,Slavic Military Rejects Order I 6 More Riverboats Could Join ... ,1991-09-12
2430,Oil Futures Rally Again . ,1991-09-12
2523,Oil Pipeline To Serbia Closed. ,1991-09-12
2526,International ,1991-09-12
2480,Serbs Cut Off Access To Croatia's Coast. ,1991-09-13
2484,The Victoria Advocate ,1991-09-13
2429,Oil Prices Jump Mildly. ,1991-09-14
2448,The Indian Express ,1991-09-14
2473,Gas Price. ,1991-09-15
2425,Sides Battle Over Need To Tap Oil In Wildlife Refuge. ,1991-09-15
2463,Area Briefs Gas Price Drop. No Surprise. ,1991-09-16
2476,Soybeans Surge On Frost Forecast. ,1991-09-17
2468,India Lost $70 Million In Domestic Oil Strike. ,1991-09-17
2445,State Oil Allowable Drops . ,1991-09-17
2444,State Oil Allowable Drops. ,1991-09-17
2478,"Precious Metals, Oil. ",1991-09-17
2516,Stock Trading Mixed On Uneventful Day... Elevator Co. Au ,1991-09-18
2514,Exxon Trial To Start Oct. 7. ,1991-09-18
2453,Kuwaiti Oil Fires. Extinguish Rate Reaches 4 Per Day. ,1991-09-18
2441,Mideast Fears Push Oil Up . ,1991-09-19
2519,Commodities ,1991-09-19
2449,Mideast Fears Push Oil Up. ,1991-09-19
2529,Channel Pilot Blamed Tor Oil Spill. ,1991-09-19
2431,Markets Moved. By Middle East News. ,1991-09-19
2489,Question At Answer. ,1991-09-19
2452,Oil Prices Settle Lower. ,1991-09-20
2451,Oil Prices Settle Lower. ,1991-09-20
2504,"Oil, Precious Metals. ",1991-09-20
2421,The Day ,1991-09-22
2424,Assistance Not Always A Blessing. Business: Government Can ,1991-09-22
2439,Outlook ,1991-09-22
2518,Whale Washed Ashore Near Kochi. ,1991-09-23
2428,Opec Deal Would Let Iraq Pump More Oil. ,1991-09-23
2434,Crude Oil Prices Increase. ,1991-09-24
2505,Cash Gram. ,1991-09-24
2435,Crude Oil Prices Increase. ,1991-09-24
2477,Silver Reaches Two-Month High On Trade Buying. ,1991-09-24
2492,The Indian Express ,1991-09-24
2447,The Indian Express ,1991-09-25
2456,Commodities ,1991-09-25
2465,Energy Prices Rise/ Fall. ,1991-09-25
2528,Because Knew Of The Problems Of Other Companies. I Ing Huge ,1991-09-26
2457,Commodities ,1991-09-26
2521,New Cleaning Method Clears Chemical Spills. ,1991-09-26
2458,Iraq May Pump More Oil. ,1991-09-26
2464,Copper Futures Hit Highs. ,1991-09-26
2487,Settlement Reached In Alaskan Oil Spill. ,1991-09-28
2446,Memory Of Black Octobers Stirs A Cold Wind On Wall Street. ,1991-09-28
2513,Cash Grain ,1991-09-28
2520,Commodities ,1991-09-28
2470,Where's The Fire In Enerav Stocks? ,1991-09-29
2508,New Exxon Valdez Settlement Reached. ,1991-09-30
2509,2nd Exxon Settlement Reached. ,1991-09-30
2511,New Exxon Valdez Deal Reached. Agreement Will Replace ... ,1991-09-30
2512,Exxon Agree On New Settlement. ,1991-09-30
2503,"Exxon, Alaska Reach Accord On Valdez Spill. ",1991-09-30
2527,Second Settlement Reached In Exxon Valdez Spill In Alaska. ,1991-09-30
2499,New Exxon Valdez. Settlement Reached. ,1991-09-30
2522,Valdez Accord Reached. ,1991-09-30
2471,Foreign Exchange Earner. ,1991-10-01
2486,Oil Spill .Exxon Settlement To Cost $1 Billion ... ,1991-10-01
2482,The Pittsburgh Press ,1991-10-01
2455,Commodities ,1991-10-01
2497,Crude Oil Price. ,1991-10-01
2498,"Governments, Exxon Agree On $1 Billion Spill Settlement. ",1991-10-01
2485,New Deal Reached In Exxon Oil Spill. I The Latest Settlement ,1991-10-01
2500,"Alaska, Exxon Reach $1b Spill Settlement. By John Enders. ",1991-10-01
2501,1 Billion Exxon Valde? Settlement Announced. ,1991-10-01
2502,Oil Dips In Sluggish Session . ,1991-10-01
2466,Loses Again ,1991-10-01
2510,2nd $1 Billion Exxon Settlement Announced. ,1991-10-01
2490,New $Lb Exxon Valdez Deal Reached. ,1991-10-01
2535,T. X. See The Colors If. Come To Richmond Mitt.... ,1991-10-07
2537,On Alert For Oil Spills. ,1991-10-19
2539,"The Victoria Advocate, Saturday, October 19. 1! .Oil Prices ... ",1991-10-19
2538,Reason Chevron Shut Down Crude Unit. ,1991-10-20
2578,Energy Prices Go Higher. ,1991-11-01
2557,Amoco Pipeline Has Big Impact On West Texas. ,1991-11-03
2588,"Heating Oil Prices Well Below. Year Ago, State Reports. ",1991-11-03
2577,Slippery Thieves Pilfering China's Oil. ,1991-11-03
2596,Small Oil Spills Nationwide Add Up To An Exxon Valdez-Size ,1991-11-04
2606,Small Spills As Harmful As Large Ones. ,1991-11-04
2612,"Small Oil. Small Oil Spills Cause Big Harm, Cause Big Harm, ",1991-11-04
2611,Mini-Spills Outweigh Tankers In Damage To Environment. ,1991-11-04
2562,Price Of Oil Drops Slightly . ,1991-11-05
2587,Cash Petroleum. ,1991-11-05
2608,"6v? Etalsco, V3sviodities ",1991-11-05
2572,Bitter Cold Lifts Price. Of Lira. Oil ,1991-11-05
2575,"Oil, Precious Metals. ",1991-11-06
2615,Grain Futures Drop Back. ,1991-11-06
2648,The Victoria Advocate ,1991-11-06
