title,date,
New crude oil price good for Nigeria but Ships Ports,2016-12-05,
Recent OPEC agreement reflected in EIA forecast issued earlier this week US Energy Information Administration,2016-12-05,
Canadian Dollar Strength to Persevere as Crude Oil Prices Break Out,2016-12-09,
North Dakota Pipeline Spills Crude Oil Into Creek 150 Miles from Standing Rock,2016-12-12,
Pipeline spills 176000 gallons of crude into creek about 150 miles from Dakota Access protest camp,2016-12-12,
Pipeline Spills 176000 Gallons of Oil Into Creek 150 Miles From Dakota Access Protests,2016-12-12,
Argo Merchant The Growth of Scientific Support,2016-12-12,
Oil prices keep rising after Russia joins OPECs big deal to cut production,2016-12-13,
Argentina cuts oil subsidies to ease the deficit,2016-12-13,
NNPC records N10468bn from crude oil sales in October Ships Ports,2016-12-13,
Nigerian Navy Sustains War Against Oil Theft,2016-12-13,
Oil tanker rates surge as bulk carrier prices languish,2016-12-14,
How much oil has spilled from US pipelines since 2010,2016-12-14,
Pipeline Spill Adds To Concerns About Dakota Access Pipeline,2016-12-15,
Change in China market share for crude oil,2016-12-15,
Canadas Oil Exports are Dead without US Shale Production,2016-12-15,
US oil and natural gas proved reserves declined in 2015 because of lower prices US Energy Information ,2016-12-15,
CanadaOil Exports are Dead without US Shale Production,2016-12-15,
Shell takes ultradeepwater to record depths with Stones,2016-12-15,
Crude oil discovered in Borno,2016-12-15,
Nigeria discovers crude oil in Borno,2016-12-16,
Crude oil discovered in Borno StateFG,2016-12-16,
Crude oil discovered in Borno State FG,2016-12-16,
This is how global crude oil flows will look after big Opec production cap deal,2016-12-16,
Timeline 155 year history of oil prices,2016-12-18,
Dirtier than tar sands Californias crude oil secret,2016-12-20,
Plans spilt for oil refinery,2016-12-21,
Budget to assume crude oil price of 5560bbl for FY18,2016-12-22,
OMCs to open trading desks in Singapore,2016-12-26,
Lapa Oilfield Santos Basin,2016-12-28,
GUIDE TO WORLD CRUDES Norwegian Skarv Blend assayed,2016-12-29,
2017 crude oil demand stands at 326mbd OPEC Ships Ports,2017-01-02,
Nigeria advances programs to rehabilitate expand refining capacity,2017-01-02,
Malaysian Dec crude oil price rises to 17month high,2017-01-02,
Crude oil price January 3 2017,2017-01-02,
NNPC names 39 crude oil offtakers for 20172018,2017-01-03,
More than 30 companies get crude oil contracts from Nigeria,2017-01-04,
Despite uptick 2016 oil prices still less than 2015 averages says EIA,2017-01-04,
South Sudan renews oil deals with China Malaysia,2017-01-04,
WTI and the Changing Dynamics of Global Crude Oil,2017-01-06,
No returning to subsidies on petrol diesel Government,2017-01-13,
Why oil can spoil Indias budget math Mint,2017-01-16,
Why oil can spoil Indiabudget math Mint,2017-01-18,
Half of Washingtons crudebyrail went through Whatcom County last quarter,2017-01-18,
Cheap Gulf of Mexico crude oil bound for Asia,2017-01-20,
Tundra Energy owns pipeline that leaked crude oil province,2017-01-24,
Theft of refined oil products threatens global stability,2017-01-25,
What caused the oil price slump and how did it impact India Opinion by Sanjay Kumar Kar,2017-01-27,
A Novel Cardiotoxic Mechanism for a Pervasive Global Pollutant Scientific Reports,2017-01-29,
East Timor Close To Taking Full Control Of 40 Billion Oil Field,2017-01-31,
Government to build 2 crude oil storages in Odisha Rajasthan,2017-01-31,
The Canadian Comeback Oil Rig Productivity Takes A Huge Leap,2017-02-01,
Oil and Commodities The End of the Age of Abundance The Dialogue,2017-02-01,
Pilgrim could be NJs oil pipeline to nowhere,2017-02-02,
Canadas oilpatch needs new customers Whos willing to buy,2017-02-03,
DME sets new record of crude oil barrels to be delivered Construction Business News Middle East,2017-02-04,
Rail News NTSB Defective axle led to Casselton crudeoil train derailment For Railroad Career Professionals,2017-02-07,
Gold Crude Oil Prices Should Rise These Charts Show,2017-02-08,
Leduc No 1 Seven decades ago a single oil well changed Alberta history,2017-02-13,
Ruchi Soya tiesup with Patanjali for edible oil,2017-02-13,
Iran becomes Indias 3rd largest oil supplier Mint,2017-02-13,
Iran becomes India3rd largest oil supplier Mint,2017-02-15,
Iran sells crude oil at 5144 per barrel in a week,2017-02-15,
SP Global Platts to Reflect Norways Troll Crude Oil in Brent assessments from January 2018,2017-02-19,
Platts wants to reconfigure the Brent crude oil basket,2017-02-20,
Centre agrees to pay Rs 6320 cr as oil royalty to Assam,2017-02-20,
Russia overtakes Saudi Arabia as worlds largest crude oil producer,2017-02-21,
Russia overtakes Saudi Arabia as worldtop crude oil producer Mint,2017-02-21,
Russia overtakes Saudi Arabia as worlds top crude oil producer Mint,2017-02-21,
Russian Rosneft signs offtake contract with Kurdistan in oil sector,2017-02-21,
A contest for oil in the SCS,2017-02-21,
Concerns over diversion of proceeds from crude oil export Ships Ports,2017-02-22,
Internet of Things in the Oil and Gas Industry,2017-02-22,
The legacy of the Deepwater Horizon disaster,2017-02-22,
Older oil and gas wells at higher risk of causing groundwater contamination,2017-02-24,
EPIC pipeline would connect Permian Basin to Corpus Christi,2017-03-01,
BP cancels plans for new Grangemouth power plant,2017-03-03,
Delaware City refinery fined 150k for violating ban on crude oil shipments,2017-03-09,
Delaware City Refinery fined 150K for crude oil shipments,2017-03-10,
Libya Crude Oil Output Falls After Field Port Closings,2017-03-10,
Disruptive changes to alter oil gas industry dynamics ICRA,2017-03-13,
Iron Ore Crude Oil The Similarities Differences In The Market Dynamics Of These Commodities,2017-03-14,
Torrey Canyon oil spill The day the sea turned black,2017-03-15,
Professor discovers large quantities of crude oil in Niger state,2017-03-17,
50 years after Torrey Canyon,2017-03-17,
Oil is flat and these five crudedependent countries need a break to the upside,2017-03-17,
You Wont Believe What Saudi Arabias Oil Production Cost Is,2017-03-18,
Downstream oil theft Implications and next steps,2017-03-19,
Despite growth late in the year US crude oil production decreased in 2016 US Energy Information Administration,2017-03-20,
Four charts make the case that crude oil has bottomed,2017-03-20,
Iran Starts Crude Oil Production From South Pars,2017-03-20,
Is OPEC Losing Its Ability to Influence Oil Prices,2017-03-20,
Beset by delays MyanmarChina oil pipeline nears startup,2017-03-21,
Shell gets access to oil hub in Panama sources,2017-03-21,
Crude Oil Price Forecast Bearish Evidence Is Gathering Steam,2017-03-22,
Latest Threat to US Oil Drillers The Rocketing Price of Sand,2017-03-22,
Crude Oil Update Prices Supported by Oversold Technical Factors,2017-03-23,
Husky crude oil spill in southwest Alberta estimated at 25000 litres,2017-03-23,
Propane prices fall on export drop and decline in crude oil,2017-03-24,
US oil rig count jumps for 10th straight week Baker Hughes says,2017-03-24,
Oil trading surge strengthens grip of big commodity houses,2017-03-24,
Oil and gas pipelines market expected to perform well until 2020,2017-03-26,
Taiwan increases Iraqi Kurdish KBT crude imports after OPEC cuts,2017-03-27,
Natixis IBM and Trafigura introduce firstever Blockchain solution for US crude oil market,2017-03-27,
US crude oil exports went to more destinations in 2016 US Energy Information Administration,2017-03-28,
The DNA of oil wells US shale enlists genetics to boost output,2017-03-28,
Dutch take a liking to US crude oil exports,2017-03-28,
If Canada ups its oil shipping should we worry,2017-03-29,
Crude spill from pipeline near Venezuelas main oil export terminal Splash247,2017-03-29,
Shells top oil trader defends North Sea Brent activity,2017-03-29,
The Formation and Evolution of the Soviet Unions Oil and Gas Dependence,2017-03-29,
House committee votes on extending tug escorts to oil barges,2017-03-29,
Crude Oil Triple Bottom,2017-03-30,
Crude Oil Triple Bottom investingcom,2017-03-30,
China steps up Americas oil imports Unipec backs new frontier,2017-03-30,
Minister Iraq to Boost Crude Oil Production by Years End,2017-03-31,
Minister Iraq to boost crude oil production by years end Loop St Lucia,2017-04-02,
Global repercussions of the US tight oil boom,2017-04-02,
Uncovering the Secret History of Wall Streets Largest Oil Trade,2017-04-02,
Kuwaits oil and gas faces an uncertain future,2017-04-03,
US oil producers increased investment in fourth quarter of 2016 US Energy Information Administration,2017-04-03,
How World War I ushered in the century of oil,2017-04-03,
Owner of Leaking Alaska Gas Pipeline Now Dealing With Oil Spill Nearby,2017-04-03,
Shell To Fuel Worlds First LngPowered Crude Oil Tankers,2017-04-03,
First LNGFueled Oil Tankers Coming in 2018,2017-04-03,
Uncovering the Secret History of Wall StreetLargest Oil Trade,2017-04-03,
New Technology Could End Costly Crude Oil Pipeline Blockages,2017-04-03,
Are Mexicos Oil Reserves Almost Depleted,2017-04-03,
China Binges on African Oil Like Never Before After OPEC Cuts,2017-04-04,
Local Activists Are Turning Oil Politics Upside Down,2017-04-05,
Oil prices flirt with 1month peak as US inventories rise,2017-04-05,
Iran Struggles to Expand Oil Exports as Sea Storage Cleared,2017-04-05,
The Keystone XL Pipeline Everything You Need To Know,2017-04-06,
ChinaMyanmar crude oil pipeline put into operation Xinhua Englishnewscn,2017-04-07,
Chinas Net Oil Import Problem,2017-04-10,
US crude oil imports increased in 2016 US Energy Information Administration,2017-04-10,
China Opens Delayed Myanmar Oil Pipeline to Get Mideast Crude Faster,2017-04-11,
771km MyanmarChina Crude Oil Pipeline Begins Operations,2017-04-11,
Syria OPEC and Oil Prices,2017-04-11,
Myanmar pipeline gives China faster supply of oil from MidEast,2017-04-12,
Crude oil pollution Edo community demands N11736bn from NPDC,2017-04-12,
ChinaMyanmar Oil Pipeline Starts Pumping,2017-04-12,
Oil From the US and Saudis Top Buyers Get What They Want,2017-04-12,
Mapping the western Canadian crude oil market complex,2017-04-12,
Press Release NuStar Energy Breaks Single Vessel Loading Record at Port of Corpus Christi,2017-04-12,
One Piece at a Time The Numbers Behind US Crude Oil Balances and Inventories,2017-04-12,
Carbon Emissions Factor Into Major Oil Sands Shakeup,2017-04-12,
Gulf of Mexico Crude Oil Production Hits Record High,2017-04-13,
WinGD to Power Worlds First GasPowered Aframax Crude Oil Tankers,2017-04-13,
More Chinese crude oil imports coming from nonOPEC countries US Energy Information Administration,2017-04-13,
Crude Volatility by Robert McNally a story of boom and bust,2017-04-14,
AssamNRL signs MoU with Paradip Port Trust and IOCL for Import of crude oil at Paradip Port,2017-04-16,
Numaligarh Refinery to import crude oil via Paradip port,2017-04-16,
Assams NRL signs MoU with Paradip Port Trust and IOCL for Import of crude oil at Paradip Port,2017-04-16,
Why US Crude Oil Imports Are Rising,2017-04-16,
Offshore Production in the Gulf of Thailand,2017-04-17,
Banned at sea Venezuelas crude stained oil tankers,2017-04-17,
Why boombust oil prices may be here to stay,2017-04-18,
Fairway Energy commences crude oil storage facility,2017-04-18,
BP Oil and Gas Leaks Under Control but Alaskans Want Answers,2017-04-18,
Are Oil Prices to Blame for the Venezuelan Crisis UFM Market Trends,2017-04-18,
The API gravity of crude oil produced in the US varies widely across states US Energy Information Administration,2017-04-19,
Why is Venezuela oil rich but cash poor DW 04192017,2017-04-19,
Why is Venezuela oil rich but cash poor,2017-04-19,
Why the Tumble in WTI Crude Oil Prices,2017-04-19,
Crude Oil Price Forecast Downside Stalls on OPEC Favoring Extension,2017-04-20,
Unified Command Stands Down Response to BPXA Flow Station 1 Drill Site 2 Well 3 Oil and Gas Release on Alaskas ,2017-04-20,
Gulf to deliver FEED services for the East African crude oil pipeline,2017-04-20,
Otakikpo Marginal Field Niger Delta,2017-04-20,
How The Shale Boom Turned The World Upside Down,2017-04-20,
Oil prices influence every beat Resources for reporters,2017-04-21,
PolitiFact What happens to oil from Keystone pipeline,2017-04-21,
Saudi Arabia a kingdom built on oil plans a future beyond it,2017-04-21,
Winter at Karazhanbas Oil Field,2017-04-21,
Iranian Crude Oil at 53 Per Barrel,2017-04-22,
Pipeline leaks 18000 gallons of crude oil onto Kingfisher Co farmland,2017-04-23,
Ballot proposal would end crude oil through Enbridges Line 5,2017-04-24,
Permian Basin oil production and resource assessments continue to increase US Energy Information Administration,2017-04-26,
Indias petroleum import bill rose 9 per cent last fiscal import dependency of crude rises to 82 percent,2017-04-26,
NRL to use IOCLs crude oil handling facility at Paradip Port for expansion,2017-04-26,
Ageing oilfields drag down crude output,2017-04-27,
How North Korea gets its oil from China lifeline in question at UN meeting,2017-04-28,
Trump order could open California coast to oil and gas drillingbut state leaders unveil a plan to thwart that,2017-04-28,
Saudi Aramco to boost oil loading capacity with reopened terminal,2017-04-28,
Implications of a border adjustment tax McKinsey,2017-05-01,
Why is todays oil market a no mans land Brookings,2017-05-01,
Implications of a border adjustment tax,2017-05-01,
What Crack Spreads Say About Oil Prices,2017-05-01,
Saudi Aramco now sole owner of biggest US oil refinery,2017-05-02,
Trains Moved Over 140000 Barrels of Oil Daily through Washington This Winter,2017-05-02,
China India swoop on first barrels of Kenyan oil,2017-05-02,
North Dakota The Oil Spill State Earth Focus News Public Affairs,2017-05-02,
Whos at Risk from a Dakota Access Pipeline Accident All of Us,2017-05-02,
US crude plunges 48 to 4552 posting worst close in more than five months,2017-05-02,
Crude Oil Tanker Demolition Bucking the Trend BIMCO,2017-05-04,
How Venezuela Ruined Its Oil Industry,2017-05-05,
Brent Crude Oil Price Grew investingcom,2017-05-07,
Crude Oil Volatility Diverges from VIX US Bond Swings Chart,2017-05-08,
Prices Must Come Up Before Crude Oil Production Does,2017-05-09,
Qatar crude oil prices rise in April,2017-05-10,
Dakota Access Pipeline spilled oil 84 gallons of oil in South Dakota,2017-05-10,
Will Gasoline Prices Shake Pyongyang,2017-05-11,
India Oil Demand Rises 33 in April After Falling for 3 Months,2017-05-11,
Five Handy Facts About the Northern BC Oil Tanker Ban,2017-05-12,
BP sues oil analyst for allegedly stealing secrets,2017-05-12,
Ottawa introduces legislation on oil tanker moratorium for BCs North Coast,2017-05-12,
China Eyes US Energy After Inking 20 Billion in Deals,2017-05-12,
Why The Right Price For Oil Is Between 60 And 70,2017-05-14,
Saudis Own The Largest Refinery In The US Now What,2017-05-14,
Raqqa and the Oil Economy of ISIS,2017-05-14,
Petrotrin a top contributor to crude oil production Loop Trinidad Tobago,2017-05-15,
Would China actually resort to banning crude oil exports to NK Daily NK English,2017-05-15,
Oilfired power plants provide small amounts of US electricity capacity and generation US Energy Information ,2017-05-16,
Herehow global crude oil prices impact your EMIs,2017-05-16,
How much the 20142016 oil price decline stimulated the US economy,2017-05-17,
Oil Gas Sector Indonesia What Explains Weak Oil Gas Exploration,2017-05-18,
OPEC net oil revenues in 2016 were the lowest since 2004 US Energy Information Administration,2017-05-18,
Energy From the Ocean Where Does the Future Lie Heinrich B ll Stiftung,2017-05-19,
Energy From the Ocean Where Does the Future Lie Heinrich Bll Stiftung,2017-05-20,
Uganda Tanzania agree on 3bn crude oil pipeline tax plan,2017-05-20,
Global crude palm oil demand jumps crude oil supporting prices,2017-05-22,
Iran Crude Oil Prices Slide Iran Crude Oil Prices Slide,2017-05-22,
Indias crude oil output dips 06 in April,2017-05-23,
US plan to sell oil reserve shows declining import needs,2017-05-23,
OPEC meeting production cuts,2017-05-23,
The Strategic Petroleum Reserve May Have Outlived Its Purpose,2017-05-24,
Oil Tumbles as OPEC Cuts Disappoint WSJ,2017-05-24,
Wood Mac Dont expect an OPECfueled rally in crude oil prices,2017-05-25,
Press Release Port Corpus Christi Oxy Ingleside Energy Center Receive Very Large Crude Carrier Largest Vessel to ,2017-05-25,
The Murky Underworld of Oil Theft and Diversion,2017-05-26,
Oil edges up after output cut extension disappoints,2017-05-26,
TransForcados System TFS Is Back Up Africas premier report on the oil gas and energy landscape,2017-05-26,
Govt plans to auction nominated fields of ONGC OIL to private players to boost output,2017-05-30,
Nigerias oil export revenue fell by 30 in 2016 Report,2017-05-31,
Nigeriaoil export revenue fell by 30 in 2016 eport,2017-06-01,
US reports oil exports rise to record level just as OPEC agrees to cut back,2017-06-01,
Crude Oil Begins To Flow Through Controversial Dakota Access Pipeline,2017-06-01,
38 billion Dakota Access oil pipeline begins service,2017-06-01,
Iraqs Crude Exports Hit 2017 High Before OPEC Cuts Extension,2017-06-01,
ChinaBuilt Brunei Oil Refinery To Launch In 2019,2017-06-02,
OPECs Influence On Oil Prices Waning,2017-06-02,
Oil Price Forecasts Lowered on Crude Glut Worries Despite OPECLed Cuts,2017-06-02,
A crude awakening,2017-06-02,
Geochemistry links source rocks crude distribution in northern Mesopotamian basin Iraq,2017-06-02,
Rail News USD Partners acquires crudeoil terminal in Oklahoma For Railroad Career Professionals,2017-06-05,
The Worlds Top Oil Consumers,2017-06-06,
QATAR LATEST Oil pricer SP Global Platts excludes Qatar from pricing process,2017-06-06,
United States remains the worlds top producer of petroleum and natural gas hydrocarbons US Energy Information ,2017-06-06,
US Oil Exports Double Reshaping Vast Global Markets,2017-06-07,
USDCAD Surges on Crude Oil Inventories Surprise,2017-06-07,
Digging the Graveyard of Oils Past,2017-06-08,
An experimental study of flow patterns pertinent to waxy crude oilwater twophase flows,2017-06-08,
Crude Oil Transportation Seminar to Address Risk of Spills in the Great Lakes,2017-06-08,
 JGC Awarded Crude Oil Gathering and Europtrole,2017-06-09,
NAME,2017-06-09,
Economic sabotage How Nigeria lost 1492bn barrels of crude oil in four years,2017-06-09,
Reporting oil companies proved reserves in 2016 decline for second consecutive year US Energy Information ,2017-06-11,
The Lonely Drifting Oil Tanker That Signals OPECs Struggle,2017-06-12,
How OPEC Became Irrelevant Traditional Oil Producing Countries Still Fail to Face the New Reality,2017-06-13,
Steep increase likely in crude oil import bill,2017-06-13,
Uganda Tanzania Sign Pact To Build Long CrudeOil Pipeline,2017-06-13,
US shale resurgence will boost global oil supply says IEA,2017-06-14,
Global oil markets expected to tighten in third quarter 2017 then loosen through 2018 US Energy Information ,2017-06-14,
Canadas oil sands to remain a growth story,2017-06-15,
In latest sign of crude glut ageing supertankers used to store unsold oil,2017-06-15,
Crude math Heres how you can determine oils longterm price,2017-06-15,
Sell and Hold Crude Oil Strategy,2017-06-16,
Its Time to Privatize Our Stockpile of Crude Oil,2017-06-16,
Marcus Hiles Price Spike of Crude Oil To Accelerate Houston Job Growth,2017-06-16,
Crude Oil Price Analysis for June 20 2017,2017-06-18,
COT Extreme in Euro Speculative Longs Grows Crude Oil Specs Hit Bids,2017-06-19,
Peak Oil Demand Is Millions Of Barrels Away,2017-06-19,
US Oil Production Makes Waves,2017-06-19,
Oil Bears Are Back as Prices Fall and Driller Shares Take a Hit,2017-06-19,
Inside The Worlds Most Sophisticated Refining Industry,2017-06-19,
Why Oil Prices Are Plummeting,2017-06-19,
Crude Oil Had a No Good Very Bad Day but so What,2017-06-20,
Oil Tanks As Price Slick Spreads MarketPulseMarketPulse,2017-06-20,
Crude oil prices should remain soft in near term David Lennox,2017-06-20,
Oil prices hit the skids slips back into bear territory,2017-06-21,
Wednesday Is Fast Becoming Oils Least Favorite Day of the Week,2017-06-21,
Fall in oil price worst since first half of 1997,2017-06-22,
Big Oil turns to big data to save big money on drilling,2017-06-22,
Inflation in Atlantic Canada fuelled more by oillinked products,2017-06-23,
Semitruck carrying crude oil rolls off road near Arroyo Grande,2017-06-23,
These 17 stocks will benefit the most from fall in crude prices,2017-06-23,
Oil firms face inventory losses as crude prices decline Mint,2017-06-23,
Three More Marginal Field Operators Reaching First Oil Africas premier report on the oil gas and energy landscape,2017-06-24,
US Crude Oil and Petroleum Products Exports Doubled Over Past 6 Years,2017-06-25,
Is energy dominance the right goal for US policy,2017-06-26,
Oregon Utility Board Approves Controversial Sale Of Oil Tanks,2017-06-27,
US exports of crude oil and petroleum products have more than doubled since 2010 US Energy Information ,2017-06-27,
Welcome to the Booming Texas Port at Heart of US Oil Sales,2017-06-27,
Is the future of brent dated as a global crude benchmark,2017-06-27,
Oil Price Fundamental Daily Forecast Rally Supported by Drop in Gasoline Supply Production Decline,2017-06-28,
OPEC Oil Prices and Disruptive Innovation,2017-06-28,
Low inventories and supply developments are affecting Asian residual fuel oil prices US Energy Information ,2017-06-28,
Project to Retrieve South Africas Apartheid Oil Stash Stalls,2017-06-29,
US crude tumbles 14 in first half closing at 4604 as market remains oversupplied,2017-06-29,
Freight train carrying crude oil derails in Plainfield,2017-06-30,
Tullow oil project in droughthit part of Kenya suspended,2017-06-30,
Tanker Cars Derail In Plainfield Causing Crude Oil Spill,2017-06-30,
Crude Oil Price Recovery to Carry Into July Amid Slowing US Outputs,2017-06-30,
Indias largest refiner IOC setting up Singapore oil unit sources,2017-06-30,
Crude oil spills in central Alberta linked to Calgarybased Journey Energy,2017-06-30,
Train derailment dumps thousands of gallons of crude oil in Plainfield,2017-06-30,
Simultaneous breaking and conversion of petroleum emulsions into synthetic crude oil with low impurities,2017-07-01,
45000 gallons of crude oil leak after train derails in Illinois,2017-07-01,
What Crude Oils Price History Can Teach Energy Stock Investors,2017-07-01,
The destabilising effect of cheap oil Elcano Royal Institute,2017-07-03,
Trafigura signs deal to take US crude at export dock,2017-07-04,
Oil Exports Illegal for Decades Now Fuel a Texas Port Boom Published 2017,2017-07-05,
Trafigura signs agreement with Plains All American Pipeline to receive crude oil and condensate from the Permian ,2017-07-05,
Saudi Aramco review confirms record crude oil production in 2016,2017-07-05,
US Oil Producers Find a Surprise New Market China,2017-07-06,
ONGC Oil India better bets than downstream oil companies,2017-07-06,
OTTCO to construct crude oil terminal,2017-07-06,
Aramco Crude Production at AllTime High in 2016,2017-07-06,
Cargill completes sale of petroleum business to Macquarie,2017-07-06,
What Makes Oil Prices So Volatile,2017-07-07,
Fossil fuel price index,2017-07-07,
Energy commodity prices declined more than other commodities in the first half of 2017 US Energy Information ,2017-07-07,
Worlds Top Oil Traders Bet American Shale Is Here to Stay,2017-07-07,
First commercial Blue Crude plant being planned in Norway,2017-07-07,
Energy Department cuts forecast for oil prices and 2018 US crude output,2017-07-11,
Saudi Arabia exceeds oil production target,2017-07-11,
US petroleum refinery capacity continues to increase US Energy Information Administration,2017-07-12,
Managing a Smaller US Strategic Petroleum Reserve,2017-07-12,
Brent and WTI crude oil prices expected to average about 50 per barrel through 2018 US Energy Information ,2017-07-13,
The Technical Failure That Could Clear The Oil Glut In A Matter Of Weeks,2017-07-13,
Offshore Cape Three Points OCTP Integrated Oil and Gas Project,2017-07-13,
Christie vetoes oil train transparency bill,2017-07-13,
Nigerias former oil minister named in US bribery complaint,2017-07-13,
Formulation of crude oil spill dispersants based on the HLD concept and using a lipopeptide biosurfactant,2017-07-14,
Saudi Aramcos strange response to a future oil shortage,2017-07-15,
10 Sectors That Will Profit From Oils Crash,2017-07-16,
Fact 986 July 17 2017 The Price of a Barrel of Crude Oil in 2016 Was the Lowest Since 2003,2017-07-16,
Crude Oil from New Caspian Fields Did Not Degrade CPC Blend,2017-07-17,
Top Oil Market Summons Poseidon to USMideast Crude Fight,2017-07-17,
Why The Oil Industry Might Prefer Rail To Pipelines In Turbulent Times,2017-07-18,
PetroChina unloading first Chinese purchase of oil from US strategic reserves shipping data,2017-07-19,
WTI Crude Oil Daily Analysis July 20 2017,2017-07-20,
This Crude Oil Pipeline Runs Right Under South Austin,2017-07-20,
SPR Celebrates 40th Anniversary of First Oil Delivery,2017-07-20,
Making History Maritime Grad Pilots First Very Large Crude Carrier To Port In Gulf,2017-07-21,
Rajasthan Over 5 crore litres of crude stolen from Cairn oilfield in Barmer 8 held,2017-07-21,
Rajasthan Gang smuggling over 50 mn litres of crude oil for 6 yrs held,2017-07-22,
Indian gang held for stealing 50 million liters of crude oil,2017-07-23,
31 arrested for stealing crude oil worth crores from Cairn India oilfield,2017-07-23,
Rajasthan 31 arrested for stealing 50 million litres of crude oil from Cairn Indias Barmer plant,2017-07-24,
Saudi Arabia Cuts Oil Exports as OPEC Looks to Stem CrudePrice Slide,2017-07-24,
These Companies Imported Venezuelan Crude In 2016,2017-07-24,
Good News for Crude Oil Good News for Elliotticians,2017-07-24,
How electric vehicles could take a bite out of the oil market,2017-07-26,
Shell Adopts LowerForever Mindset on Crude Oil Prices,2017-07-26,
CSIRCIMFR Installs and Commissions firstofitskind Coal to Liquid CTL Pilot Plant for Producing Diesel and ,2017-07-27,
Boko Haram attack stops Nigeria oil companys search for crude,2017-07-28,
Longterm effects of oil spills in Bodo Nigeria,2017-07-28,
Crude oil tank at HPCL catches fire,2017-07-28,
HPCL crude oil tank in Andhra catches fire after lightning strike in Vizag,2017-07-29,
KUNA Two mln barrels of Kuwaiti crude oil to be shipped to Vietnam refinery Oil Min General 31072017,2017-07-30,
Maritime chokepoints are critical to global energy security US Energy Information Administration,2017-07-31,
The Price of Oil Dependency,2017-08-01,
After crude oil market look what electric car revolution is disrupting now,2017-08-01,
Crude under the hammer How sellers are hoping to boost value of their oil,2017-08-03,
Crude Oil Price Update Look for Upside Bias on Sustained Move Over 4937,2017-08-03,
61 of global crude oil and petroleum products transported by sea,2017-08-03,
Port Corpus Christi The 1 US Crude Oil Export Port Video,2017-08-04,
What made this oil trader known as God fall to Earth,2017-08-04,
Crude Oil Price Forecast August 4 2017 Technical Analysis,2017-08-04,
Hormuz and Malacca Remain Top Oil Chokepoints,2017-08-04,
What made this oil trader known as odfall to Earth,2017-08-04,
Uganda Tanzania begin construction of key oil pipeline,2017-08-04,
COT Crude Oil Speculative Long Swelling Again More CAD Buyers EUR Sellers,2017-08-05,
Crude oil settles lower as Opec compliance meeting gets underway,2017-08-07,
Three important oil trade chokepoints are located around the Arabian Peninsula Africas premier report on the oil gas ,2017-08-07,
World Oil Trade Hinges on These 8 Vulnerable Chokepoints,2017-08-07,
South Koreas SK Energy buys first US crude oil in move away from Middle East,2017-08-08,
EIA STEO Revises Its 2018 US US Crude Oil Production,2017-08-08,
Kraken Oil Field North Sea,2017-08-09,
Exposure to oil sends birds off course,2017-08-10,
The Strait of Malacca a key oil trade chokepoint links the Indian and Pacific Oceans US Energy Information ,2017-08-10,
Emergency teams battle to contain oil spill off Kuwait,2017-08-11,
Indian Oil Corp buys first shale oil from US,2017-08-13,
Andeavor to develop Conan Crude Oil Gathering Pipeline system in Delaware Basin,2017-08-13,
Kuwait contains large crude oil spill off Gulf coast,2017-08-14,
Crude oilsourcing map shows early signs of change,2017-08-14,
EIAs Drilling Productivity Report adds Anadarko region aggregates Marcellus and Utica US Energy Information ,2017-08-14,
157000 Barrels of CrudebyRail per Day to Puget Sound,2017-08-15,
Crude Oil Price Forecast August 16 2017 Technical Analysis,2017-08-15,
Iraq sets up oil shipping trading joint venture,2017-08-16,
Crude Market Shows Enduring Strength Beyond Seasonal Peak,2017-08-16,
The Danish and Turkish Straits are critical to Europes crude oil and petroleum trade US Energy Information ,2017-08-18,
Saudi Arabia crude oil exports fall slightly in June,2017-08-18,
No Matter How You Slice It The Crude Oil Market Is Coming Into Balance USO,2017-08-18,
The Danish and Turkish Straits are critical to Europecrude oil and petroleum trade US Energy Information ,2017-08-18,
How Reliance Industries manages to keep its refining margins high Mint,2017-08-18,
GST credit will be available only on valueadded crude oil products,2017-08-21,
Azeri Light crude sells for 5396 AZERTAC,2017-08-21,
Factbox US Gulf Coast oil industry prepares for Hurricane Harvey,2017-08-23,
Hurricane Harvey is bullish for gasoline bearish for crude oil,2017-08-25,
Hurricane Harvey headed for area with significant oil natural gas infrastructure US Energy Information Administration,2017-08-25,
Russian Petroleum Production Grows Despite Sanctions,2017-08-25,
Texas Oil Production Remains StrongBut For How Long,2017-08-25,
Hurricane Harvey Impacts Crude Oil And Gasoline What You Need To Know,2017-08-26,
New crude oil pipelne from Chennai Port TrustManali refinery,2017-08-28,
Crude oil and natural gas production in Texas and Oklahomas Anadarko Region is growing US Energy Information ,2017-08-28,
Libyas Zawiya oil refinery operating at half capacity due to Sharara outage source,2017-08-28,
Oil factbox Refinery outages port closures spread on Harvey,2017-08-28,
Crude oil price has fallen by twothirds in 9 years but petrol price has risen by a half,2017-08-29,
Alaskan Oil Returns With A Vengeance,2017-08-29,
CNOOC receives first cargo from Saudi Aramco,2017-08-29,
CHART The sharp drop in US crude oil inventories this year,2017-08-30,
Defend against silicon poisoning,2017-08-30,
US releases oil from strategic reserve in Harveys wake,2017-08-31,
Harvey aftermath hits a third of US oil refineries,2017-08-31,
China sees new world order with oil benchmark backed by gold,2017-08-31,
Hurricane Harvey adds uncertainty to gasoline prices for the upcoming Labor Day weekend US Energy Information ,2017-09-01,
