,title,date
9861,Cavern Oil Stash May Leak Into Gulf I Reserves One Of The Strategic Oil Reserve Leaks To Be Pumped Out At Big Loss Government Has To Move Billions Of Gallons Of Oil ,1995.8.8
9871,Government Must Move Oil From Embargo Days Government Has To Move Oil Held In Reserve ,1995.8.9
9873,Late Sell Programs Take Stocks Lower At The End Of A Dull ,1995.8.11
9875,Nasdaq Achieves A New High As Stocks Make A Comeback ,1995.8.15
9876,Teen Convicted In Double Murder ,1995.8.17
9877,Victoria Mull Victoria Mall Has Clothes With Style I ,1995.8.18
9878,Crude Oil Futures Rise Again After Announcement On Troops,1995.8.19
9881,Oil Prices Mideast Tensions Rise ,1995.8.20
9884,Saddam Concern Boost Oil Over 18 ,1995.8.22
9886,Stocks Hold Ground While Wall Street Shrugs Off Interest Labor Dav Gasoline Prices Have Dropped In Carolinas ,1995.8.23
9889,If Oil Is Economic Power Managed Care Here Are The Pros Activists Urge Growth Of Corporate Ethics We Didnt Spill ,1995.8.27
9892,Luis Has Crude Gasoline Prices Jumping ,1995.9.6
9896,Russian Oil Spill Cleanup Satisfies World Bank Around The World Relief Workers Clean L L And Contain ,1995.9.7
9899,Cause Of Illnesses Me Thru Hi In The Severely Deformed Sydney May See Coal Futures Contract Neighbors Believe Oily Goo Is Responsible For Sicknesses ,1995.9.8
9902,Gas Futures Near ThreeMonth High By David Dishneau ,1995.9.15
9903,Threat Of Hurricane Pushes Oil Prices Up ,1995.9.16
9906,Geochemist Says Oil FieldsMay Be Refilled Naturally,1995.9.26
9907,Stocks Follow Bonds Sharply Lower End Slightly Weakened ,1995.9.28
9911,Outcome Of Epa Debate Will Have FarReaching Effects ,1995.10.10
9914,API WEEKLY REPORT CRUDE OIL INVENTORIES INCREASE,1995.10.11
9915,Roxanne Routs Yucatan Cozumel Aa Mexican States Prepare ,1995.10.12
9926,Dont Let Big Oil Destroy Refuge ,1995.10.18
9927,Update Market Falls Bond Prices Slip ,1995.10.21
9932,Storm Causes Rise In Crude Oil Prices ,1995.10.25
9935,Stocks Slide Dow Industrials Dip Transportation Index Sets ,1995.11.7
9937,Crude Oil Prices Climb ,1995.11.10
9939,India Planning New Oil Policy To Attract Big Overseas Players Dow Jones Defying Drop In Bonds Sets 3rd Record High Sharp Drop Fuels Debate Over Gasoline Prices Pump Prices ,1995.11.11
9941,George Martin Says Reunion Was Traumatic ,1995.11.13
9944,Senate Approves Bill To Lift Ban On Export Of Alaska Oil ,1995.11.15
9946,Plastics Textiles Are Areas Future Infrastructure Is In ,1995.11.17
9948,Dow Industrials Sets Another Record High ,1995.11.18
9951,Nigeria Mandela Calls For Sanctions Market Hopes Budget Battle Produces Cuts Cold Opec Jitters Up Fuel Oil Prices ,1995.11.19
9955,Senate Ends Debate On Oil Deregulation The Dow Closes Lower Unable To Hold On To 5000 Level By ,1995.11.21
9956,Oil Firms Demand Payment Of P4b In ,1995.11.22
9958,Eworld Trade Opec Holds Line On Oil Production Ceiling For Now Opec Addresses Oil Glut Opec Declines To Raise Prices Claiming The Poachers Prize Stocks Reach Higher Into The Opec Addresses Oil Glut ,1995.11.23
9961,Oil Industry Deregulation Senate To Set Limit On Price Opec Declines To Raise Prices ,1995.11.24
9964,Chinese Oil Trader Sinochem Presses For A Bigger Role ,1995.11.27
9967,Energy Futures Show Spurt Dow Industrials Hit Record High For Fourth Straight Session Call It As You See It Will You Go Into Debt To Buy On To ,1995.11.28
9968,Alaskan Oil Export Ban Is Dropped ,1995.11.29
9973,Crude Oil Spilled Into Cook Inlet ,1995.12.6
9977,Gas Prices Bottom Out Long Decline Of Gas Prices Finally Ends ,1995.12.9
9978,Heating Oil Leads Energy Rally As Cold Weather Boosts Demand ,1995.12.10
9982,Gasoline Prices Bottom Out Heating Oil Leads Energy Rally ,1995.12.11
9986,Surge In Oil Shares Trading Fuels Stocks Market Rally ,1995.12.12
9987,Oil Stocks A Bargain Analysts ,1995.12.14
9988,Dec Investigating Tanker NearGrounding In Alaska ,1995.12.15
9995,Oil Stocks Are One Of The Few Bargains Left Analysts Oil Stocks Among Few Bargains Analysts Oil Stocks Among Few Bargains ,1995.12.17
9996,Oil Deregulation Bill Ok Snagged Bicam Can Agree On Common ,1995.12.18
9998,For the United Arab Emirates 1995 was the year,1995.12.21
10005,Corn Futures Prices Hit 11Vear Hiahs ,1995.12.24
10015,Passage Of Oil Deregulation Bill Delayed ,1996.1.3
10016,P540M Bonanza For The Oil Firms Cold Exports Hike Oil Prices ,1996.1.5
10018,Refinery News Fuels Surge In Energy Prices ,1996.1.6
10020,Emirates Petroleum relaunched as Emarat Refinery Problems Send Energy Futures Climbing By Paul A ,1996.1.7
10021,Refinery Problems Send Energy Futures Energy Soaring ,1996.1.8
10022,Cabinet Men Say Oil Price Hike Inevitable ,1996.1.10
10023,Padilla Movie Travesty Of Justice ,1996.1.11
10024,Petroleum Stocks Expected To Stay Low Analysts Say ,1996.1.12
10025,Oil Prices Climb After The Blizzard ,1996.1.14
10026,Oil Futures Tumble Raqi Shipment Rumor Orces Oil Price Drou ,1996.1.17
10030,Ignorance Of Existing Laws On Oil Still Tops But Use Drops ,1996.1.18
10031,3 Oil Firms Making Mockery Of Deregulation ,1996.1.19
10033,Oil Barge Sinking Off Rhode Island Crude Oil Futures Rally To Erase Most Midsession Losses ,1996.1.20
10038,Barge Spilled Thousands Of Gallons Of Oil Officials Say 720000 Gallons Spilled From Barge Killing Crude Oil Rallies To Erase Much Loss ,1996.1.21
10043,Barge Still Leaking Oil Fish Birds Die In Some Areas Ri Oil Spill Spreads As Cleanup Begins By Tim Whitmire Iraq May Seek Un Approval To Sell Oil Rhode Island Oil Spill Is More Serious Than Initially Thought Published 1996,1996.1.22
10048,Kuwait tanker embezzlement case opens,1996.1.23
10049,Residents of Kennedy Heights a predominantly black public housing,1996.1.25
10050,Oil Futures Fall On Concern Over Iraqi Oil Sale ,1996.1.26
10052,Record Cold In Several Regions Fuels Rise In Nations ,1996.2.3
10053,Price Hike Rejected Industries Gang Up On Oil Trio By ,1996.2.4
10054,Defends Exports Of Alaska Oil ,1996.2.11
10055,Lift On Oil Export Ban Controversial ,1996.2.12
10057,Gasoline Futures Surge Amid More Oil Refinery Shutdowns What About The Price Of Gasoline ,1996.2.16
10059,Experts Fight To Contain Oil Spill Off Wales Slick From Oil Tanker Threatens Wildlife Havens On Coast Of ,1996.2.17
10061,Gasoline Crude Oil Futures Surge News Of Labor Dispute ,1996.2.18
10065,Oil tanker freed from rocks Feb 21 1996,1996.2.21
10077,Tanker Freed After Huge Spill Wildlife Harmed By Oil Spill Lugs Tree Tanker Alter 19 Million Gallon Spil ,1996.2.22
10079,Workers Struggle To Clean Sludge Birds After Spill ,1996.2.23
10082,News Of Deal Delivers Blow To Oil Prices ,1996.2.24
10084,Crude Oil Futures Collapse Chevron Preparing To Dismantle Oil Rigs Off California Oil Futures Fall After Comments On Iraq ,1996.2.25
10086,Government GiveAway To Oil Companies ,1996.3.4
10088,Analysts Low Oil Stockpiles Not A Concern Us Oil Supply Lowest In Years ,1996.3.8
10090,Measures Taken To Combat Oil Spill ,1996.3.11
10094,Crude Oil Futures Climb For Fifth Straight Session Commodity ,1996.3.16
10095,Crude Oil Futures Rise For Fifth Straight Session ,1996.3.17
10096,House Posts Breakthroughs On Evat And Oil Legislations ,1996.3.18
10097,Lewiston Morning Tribunetuesday March 19 1996 ,1996.3.19
10098,New Oil Price Hike ,1996.3.20
10099,Crude Oil Now At Its Highest Since Gulf War In Absence Of Bicam Oks Oil Deregulation Bill ,1996.3.21
10103,Stock Prices Edge Up In Quiet Day Of Trading ,1996.3.23
10105,Crude Oil Climbs To ,1996.3.24
10106,Opsf Still On Even With Deregulation ,1996.3.25
10107,Opec Finally Hits Target Oil PriceBy Accident Oil Prices Catch Up With Opec Target ,1996.3.27
10109,Oil Deregulation 3 Other Bills Signed Into Law By Joem H ,1996.3.28
10110,Stocks Turn A Bit Higher After Mostly Quiet Day ,1996.3.29
10111,Refinery Process Is Pretty Slick Tiose Tones Arc Towers ,1996.4.1
10113,Four men due in UK court for kidnapping,1996.4.4
10114,Rising Gasoline Prices Have Holiday Motorists Grumbling ,1996.4.6
10116,Gas Prices Hit Texans Experts Cite Various Reasons For ,1996.4.10
10119,Oil Deregulation Tatad Asks High Court Void Ra 8180 ,1996.4.13
10121,Gramm Bill Will Ease Oil Gas Producers Fees Us Begins To See Higher Gas Demand And Prices ,1996.4.14
10123,Investing Energy Funds Are Hot As Oil Prices Soar ,1996.4.15
10127,Paying A Premium For Pump Prices Have Hit PreGulf War High Sr S Rumored Deal With Iraq Causes Drop In Oil Prices ,1996.4.17
10129,Gas Prices Highest Since Gulf War Consumers Fighting Mad Nation Gas Prices At Highest Levels Since 91 ,1996.4.20
10132,Gas Price Surge Jolts California I Drivers Grumble As Gas Prices Soar Drivers Grumble As Gas Prices Soar Firivers Ers Grumble Ras Prices Gas Prices ,1996.4.21
10137,Prices Are Rising Quickly At Local Gasoline Stations Harsh Winter Fuels Gas Price Increase But Prices Panics Ci ,1996.4.23
10138,Technology Surge Continues While Blue Chips Lurch Higher ,1996.4.24
10140,Air Board Holds Hearing But No Action On Gas Prices ,1996.4.25
10144,Higher Summer Gas Prices Reach Area Early By David Patch Filling Up At The Pump Wont Leave Wallet Dry Gas Prices Soaring Prices To Peak In Early Summer ,1996.4.26
10147,Higher Pump Prices To Fall Analysts Say ,1996.4.28
10149,Gasoline Prices Rising And Likely To Keep Going Journal Analyst Points To Leveling Off For Us Gasoline Prices ,1996.4.29
10150,Gas Many Factors Determine Price ,1996.4.30
10152,Gas Companies Gamble Blamed For High Prices Energy Prices Plunge On Word Clinton Will Release Stockpiles Bad Gamble Raised Price Of Gasoline Analysts Say ,1996.5.1
10157,Business Soaring Gas Prices Puzzle Public Briefs High Gas Prices Unfulfilled Gamble Gas Motorists Wondering Where To Place Blame Leave Gas Prices To The Market ,1996.5.2
10163,The Ins And Outs Of Mi Higher Gas Prices Motorists Paid Price For Tight Stock Continued From I Average Gas Prices One Gallon Of Regular Unleaded ,1996.5.3
10169,Leave Gas Prices To The Market ,1996.5.4
10170,Charles Krauthammer Were All Shocked Shocked To See Oil Many Factors Affect Gas Prices ,1996.5.6
10172,Present Scenario And Likely Reaction ,1996.5.7
10174,Macaroni Line Filled A Rail Need In Texas Business Ct Pump Prices May Have Run Out Of Gas By Loren ,1996.5.8
10176,Oil Supplies Up Prices Down ,1996.5.9
10177,Many Factors Have Fueled The Jump In Gas Prices ,1996.5.10
10178,Gasoline Prices Could Drop Before Washington Lowers Tax Realities Of Oil Industry Still Cheap By Historical ,1996.5.12
10183,New Gasoline Formulas Structural Changes In Industry Cited Who Gets The Profits In Rising Gas Prices ,1996.5.13
10185,Consumer Prices Holding The Line Fear Of Interest Rate Hike ,1996.5.15
10188,Us Keeps Low Oil Reserve Because American Gas Inventories ,1996.5.19
10189,Planned Oil Pipeline Is Hot Issue Utah Refiners Like Idea ,1996.5.20
10191,Gas Prices Expected To Drop But Not Before Memorial Day Iraqi Oil Flow Could Mean Lower Prices At The Pump Impact ,1996.5.21
10196,1 Gasoline Prices Climb ,1996.5.23
10197,Gas Prices Not Deterring Holiday Motorists ,1996.5.25
10198,Little Change Expected From Opec ,1996.5.28
10199,Alaska Oil Exports To Begin ,1996.5.30
10200,Dow Industrial Tumbles On Fears Of Interest Rate Hike ,1996.6.1
10201,Pendulum At The Gas Pump ,1996.6.3
10202,House Approves Oil Measure ,1996.6.5
10204,Rising Inventory Fuels Drop In Crude Oil Price Lower Oil Prices Seen As Little Help ,1996.6.6
10206,Opec Raises Ceiling On Oil Production Cartel Wants To Make ,1996.6.7
10207,House Okays Modified Tax On Petrol Products ,1996.6.8
10208,Gas Prices Fall But Not Enough To Suit Vacationers ,1996.6.10
10210,Gas Prices On The Way Down But Profits Up ,1996.6.11
10213,Inflation Absent As May Producer Prices Decline Iraq is set to resume shipping activity after a,1996.6.12
10215,Government Predicts Gas Will Fall Dime A Gallon Gasoline Prices Expected To Energy Address Whether Oil Government Gasoline Will Fall Dime A Gallon ,1996.6.14
10218,Indonesia Iraq In OilForFood Talks ,1996.6.27
10219,Energy Prices Decline ,1996.6.29
10220,Oil Deregulation Means Higher Prices Less Service ,1996.7.3
10221,Fourth Of July FillUp Will Cost Some Cash Travelers Taking ,1996.7.4
10222,American Troops In Saudi Arabia To Guard Oil Supply ,1996.7.7
10223,Crest Petroleum Shares Rated As Good Investment ,1996.7.17
10224,Oil And Gasoline Futures Take A Dive ,1996.7.21
10225,Crude Oil Prices Rise With Crash Theories ,1996.8.2
10226,Product Labels Should Have More Information ,1996.8.4
10228,Report Of Fires Boosts Crude Futures ,1996.8.18
10232,Gasoline Crude Dip On Small Supply Drop ,1996.8.22
10234,Cottons Hot But Soybean Prices Drop ,1996.8.24
10235,Lawmakers Wife Resigns Staff Post ,1996.8.26
10236,Agency Only Causes Destruction ,1996.8.31
10238,Freeze On Iraqi Crude Expected To Lift Prices Turmoil In Iraq Sends Energy Prices Higher Un Freeze Likely To Raise Oil Prices Oil Prices Make Big Leap Following Conflict In Iraq ,1996.9.3
10245,Turmoil In Iraq Sends Energy Prices Higher Economy Energy Prices Rise Sharply Over Iraqi Conflict Crude Oil Soars After Iraqi Attack Iraq Attack Effect Crude Oil Prices Oil Prices Rise On Iraqi Turmoil ,1996.9.4
10256,No More Special Estanislao Oil Levies ,1996.9.7
10257,Heating Oil Futures Hit Highest Level In 5 Years ,1996.9.8
10258,Move In Special ,1996.9.13
10260,Saudi Announcement Drops Energy Futures ,1996.9.17
10262,Persian Gulf May Send Gasoline Prices Climbing ,1996.9.23
10264,Tight Supplies Spell Higher Winter Heating Oil Prices Higher Prices Expected For Home Heating Oil Heating Oil Price Hike Seen ,1996.10.1
10270,Oleary Examining Options On Heating Oil Ways To Thwart Increase In Heating Oil Examined Options Are Studied On Home Heating Oil Diesel Oil Price Hike Looms Erb Chief Tells Senate World ,1996.10.2
10272,Heating Oil Sharply Higher As Stocks Tighten ,1996.10.3
10273,Govt Urged To Junk Oil Firms Adjustment Scheme If ,1996.10.6
10275,Oil Producers May Merge Us Refining Shell Texaco Confirm Talks On Linkup Worldwide Oil Demand Exceeding Predictions ,1996.10.8
10278,Copper Futures Surge On Us Economy Heating Oil Buyers Keep Crude Prices On Thp Hnil ,1996.10.9
10279,Heating Oil Prices Continue To Rise Market Factors Low ,1996.10.10
10281,Singapore Refiners Face Hard Times Lit Asia Are Birring ,1996.10.11
10283,Oil Prices Higher ,1996.10.15
10286,Mainers Nusue To Buy Firewood Rice Of Of Heating Oil Oil Us Stocks Enter Seventh Year Of Historic Bull Run ,1996.10.16
10288,Gasoline Gains After Doe Releases Report ,1996.10.18
10291,Intervention To Cut Heating Oil Prices Is Rejected Prices Of Heating Oil Futures Jump After Government Help Us Will Study Do Futures Markets Have Dampening Impact ,1996.10.19
10294,Higher Heating Oil Prices Seen This Winter 0 Leary Won Step In To Curb Heating Oil Prices ,1996.10.20
10296,Results Mixed Tor Big Oil Companies ,1996.10.22
10297,Oil Prices Stabilize Statewide LongTerm Outlook Remains ,1996.10.23
10298,Dupont Earnings Rise 16 Percent ,1996.10.24
10299,A Costly FillUp Prices Are Up Supplies Down For Home ,1996.10.25
10300,Higher Fuel Price Hikes Without Deregulation Says Oil Firm ,1996.10.26
10301,Judge Rules For Banks In CreditUnion Case ,1996.10.29
10302,Crude Oil Futures Flow To 2Month Low ,1996.11.2
10303,Corn Soybean Futures Lower Excellent Weather Expected To ,1996.11.3
10305,Higher Heating Oil Prices For A Reason ,1996.11.5
10307,Shortage Of Crude Oil Sends Gas Prices Up And Up Less Refining Higher CrudeOil Cost Add To Sharp Rise In ,1996.11.8
10309,Heating Oil Futures Rise Amid Cold Snap Northeast Expected ,1996.11.9
10311,Oil Supply Shortage In Burma Cold Weather Sends Heating Oil Upward ,1996.11.10
10314,Crude Oil Costs Cause Hike In Price At Gas Pumps Higher Crude Oil Prices Cause Jump In Gasoline Prices ,1996.11.11
10318,Crude Oil Up Gas Prices Still Rising At Pumps Heating Oil Cost Hikes Crude Prices Gasoline Prices Rise Along With Crude Oil Costs ,1996.11.25
10324,Iraq Deal May Slow Gushing Oil Prices Opec Ministers Chopper Oil And Gas Rise ,1996.11.26
10325,Copper Oil And Gas Rise ,1996.11.27
10327,Opec Delays Production Talks Energy Futures Up After Un Approval ,1996.11.28
10328,Tanker Sunk By Japanese In 1941 Intact On Ocean Floor ,1996.11.29
10330,Sunken Wwii Tanker Off Coast Still Full Of Oil Oil Tanker Sunk By Japanese Found Off California The Wreck ,1996.11.30
10333,Tanker Sunk By Japanese Found Most Of Oil Ore ,1996.12.1
10336,New York Reuter Stocks Rise On ProfitTaking Bonds Tumble,1996.12.6
10338,Experts Debate Pumping Oil From Tankers Oil Rv David Experts Debate What To Do With Sunken Tanker Find Raises ,1996.12.7
10339,Pump Prices Should Drop With Iraqi Oil Exports ,1996.12.10
10341,Analysts Say Pump Prices Should Decrease Added Supply Should Cut Price Eventually Iraq ReEnters Oil Trade Consumers Skeptical Consumers Mere Trickle Oil Output Down By 70 By Honey A Analysts Pump Prices Should Drop With Iraqi Oil Exports Iraqi Oil Export To Eventually Reduce Pump Prices Gas Prices To Drop With Iraq Oil On The Market  ,1996.12.11
10349,Analysts Expect Oil From Iraq To Eventually Lower Gas Prices,1996.12.12
10351,Us Firms Buy First Iraqi Oil Shipments ,1996.12.16
10352,Natural Gas Heating Oil Skyrocket Based On Cold Weather ,1996.12.17
10354,Nation Heating Gasoline Prices Will Rise Experts Say Petroleum Prices Blast Pocketbooks Associated Press New ,1996.12.18
10355,Heating Oil Nil Nhces Holding Stead ,1996.12.19
10356,Blue Chips Rise Nasdaq Dips ,1996.12.21
10357,Crude Oil Futures Decline ,1996.12.22
10358,Dow Tumbles At Close Amid New Inflation Worries ,1997.1.1
10359,State Awaits Emergency Heating Funds Prices Continued From Page 1a ,1997.1.3
10362,Oil Gas Costs May Stay High Heating Oil Prices To Remain High Heating Oil Prices Not Likely To Cool Off 10 To 15 Cents Heating Oil Prices To Remain High Gas Prices Going Back Up,1997.1.4
10372,Heating Oil Prices Expected To Remain High Heating Oil Prices To Remain High ,1997.1.5
10374,Prices Tor Neating On Expected To Stay High ,1997.1.6
10377,Oil Pipeline Project Across Peninsula Churches Blame Shell Nigerian Government For Oil Pollution ,1997.1.7
10378,Concept Accelerates First Ever Close Above 6600 ,1997.1.8
10380,Stocks Veer Lower As Interest Rates Rise With Oil Prices Environment Japanese Fishermen Battle Russian Gasoline Prices Skyrocket Around State State Briefs ,1997.1.9
10382,China To Purchase 34m Tonnes Of Crude This Year ,1997.1.10
10383,Vintage Files Debt Offering,1997.1.11
10386,Pump Prices On The Rise Pump Average Up 13 Cents Briefs Retail Prices Of Gasoline Rose 1c A Gallon In Past 3 Gas Prices Rise Penny Plus ,1997.1.13
10390,Higher Crude Oil Prices Affect Gasoline ,1997.1.14
10397,Exxon Wants Valdez Let Back Into Sound I Tanker Spilled ,1997.1.16
10401,Warming Forecasts Caus Energy Prices To Retreat ,1997.1.18
10402,Petroleum Anarchy Reigns In Chechnya ,1997.1.21
10405,The Oil Moonshiners Reign As As Chechnya Tries To Recover Chechens Turn To DoItYourself Refining Gas Isnt The In Brief Chechens Leave Farming For Oil Business ,1997.1.23
10409,Chechnyas Oil Fields Still Mired In Anarchy Despite The ,1997.1.24
10410,Prices Of Heating Oil Futures And Natural Gas Warm Up ,1997.1.25
10412,Uas Prices Siay Steady ,1997.1.27
10413,Oil Com Oil Compar Deals Face Deals Face ,1997.1.28
10416,Dow Snaps Losing Skid Despite Another Jittery Day For Bonds,1997.1.30
10417,Wheat Futures Fall To Lowest Levels In 21 Months ,1997.1.31
10419,Crude Oil Prices Decline ,1997.2.7
10420,Energy Prices Dip To Lowest Level Since Fall ,1997.2.8
10421,Energy Prices Take A Fall After Recent Mild Weather ,1997.2.9
10426,Opec Content With Current Oil Prices KnightRipper News ,1997.2.19
10430,Wilmington Morning Star Thursday February 20 1997 Us Trade Deficit Surges 1142 Billion Crude Oil Prices Llons Crude Oil Prices Climb Opec Content With Current Oil Prices KnightRipper News ,1997.2.20
10433,Oil Prices Drop Sharply On Thursday ,1997.2.21
10435,Gas Prices Fall 112 Cents ,1997.2.24
10437,Crude Oil Disaster ,1997.2.25
10440,Oil Futures Prices Fall ,1997.2.28
10442,High Winds Impede ,1997.3.4
10443,Overseas Oil Dependence Passes 50 Mark ,1997.3.5
10444,The Energy Policy Theres No Crisis Just A Footnote ,1997.3.6
10446,Energy Policy No Crisis Just A Footnote ,1997.3.7
10448,Supply Vs Demand Soybeans Rally To New Highs ,1997.3.9
10451,A Crude Awakening To Gas Price Moves Reduced Demand For Mg Ruei Fuel During Winter ,1997.3.11
10452,Growth In Refining Hikes Jans Oil Demand ,1997.3.12
10454,Emergency Plan Requirement For Ships In Local Waters Higher Oil Prices Expected To Stay Until June ,1997.3.13
10456,Dont Want Oil Tanker To Return By Carey Goldberg ,1997.3.16
10457,Petroleum Oil Prices Lower ,1997.3.18
10458,Economics Politics Fuel South China Sea Row ,1997.3.21
10462,California Survey Says Fuel Prices Are Down Broken Pipeline Blamed For Gas Spill ,1997.3.23
10466,Survey Shows Fuel Prices Down Slightly Nation Analyst Gas Prices Drop At Pump Gas Prices Post Minor Decrease Gasoline Prices Down In Us ,1997.3.24
10471,Heating Oil Futures Rise ,1997.3.26
10473,The Nation Indian Oil Sector Opens Its Doors To Private Groups,1997.3.27
10474,The Nation Indian Oil Sector Opens Its Doors To Private Groups,1997.3.28
10475,Strong Growth Higher Deficit Projected For 1997 Malaysian ,1997.3.29
10479,Gasoline Prices Expected To Take Modest Increases During 1997 Gas Prices Expected To Rise Some This Summer Small Summer Increase In Gas Prices Expected ,1997.4.4
10485,Soybean Corn Crude Oil Pork Futures Drop ,1997.4.6
10486,Summer Prices Expected To Be 2 Cents Summer Prices Be Lower ,1997.4.8
10488,Russia Oil Wealth Squandered In Bashkiria Us Fuel Prices Fall In March ,1997.4.9
10491,Gas Survey Dubuque Pumps Highest Lower But Still At Top ,1997.4.12
10493,Crude Oil Prices Decline ,1997.4.16
10505,Exxon Earnings Record Billion ,1997.4.22
10506,Gasoline Prices Down But Not In California ,1997.4.23
10507,Ibm Spurs Early Rally Stocks Falter On Inflation Fears ,1997.4.25
10508,Oil Prices Fall Despite Cutbacks In Production ,1997.4.26
10510,Exxon Affiliates In Jomi Operations ,1997.4.27
10512,Gas Prices Drop More Than HalfCent A Gallon ,1997.4.28
10514,Heating Oil Prices Rise ,1997.4.30
10517,Unocal A Company Without A Country,1997.5.4
10518,Ongc Shuts Down Gandhar Oilfield,1997.5.9
10519,Well Know Soon If Oil Prices Increase Broken Pipeline Allows Crude Oil To Spill Into Coastal Area Trucks Used To Clean Up Crude Oil ,1997.5.13
10524,Ashland Marathon Announce Alliance ,1997.5.16
10527,Crude Oil Futures Make Gains Page Ran Crude Oil Oil Futures Highest Lowol In In ,1997.5.18
10529,Crude Oil Prices End Lower ,1997.5.21
10531,Gas Races Down For Memorial Day Travelers Stocks Fear Inflation Fall ,1997.5.23
10532,Oil Producers Slash Prices After Fueling Turmoil Of 96 Energy Futures Run Out Of Gas Ahead Of Holiday ,1997.5.24
10534,Savings Seen In ShellMobil On Venture Halff Kim ,1997.6.4
10535,Petrol Consumption Up ,1997.6.5
10536,Coffee Futures Fall On Easy Supply Concerns ,1997.6.6
10537,Oil Energy Prices Decrease ,1997.6.7
10538,Coffee Futures Tumbling On Easing Supply Concerns ,1997.6.8
10541,China To Cut Duties Balance Trade ,1997.6.9
10544,Tanker Explosion Has Little Impact Us Neighborly About Oil Imports ,1997.6.11
10545,Bumi Armada To Recover Investment In Two Years ,1997.6.15
10546,Nation Grand Forks Receives Chunk Of Disaster Aid ,1997.6.16
10548,Hippie Is I Captured Flu Years After Mat Fleeing Trial ,1997.6.17
10549,Oil And Gas An East Texas Commodity ,1997.6.18
10550,RAINWATER FLOWS WITH OIL AND GAS The Washington Post,1997.6.21
10552,Longtime Oil Man Alls Well Stocks C35 Oil Ministers Quarrel Over Sliding Prices ,1997.6.23
10553,Investing Demand For Oil And Gas Bodes Well Oil And Gas ,1997.6.24
10555,Iran Rp Trader Forge Oil Refinery Venture ,1997.6.25
10556,Crude Futures Soar After Opec Agrees To Adhere To Quotas ,1997.6.26
10558,Opec Vows To Halt Cheating On Oil Output Quotas Energy Opec Promises To Stop Pumping Too Much Oil ,1997.6.27
10560,Wwp Applies For Rate Increase In Local Area ,1997.6.28
10563,Crude Oil Prices Climb ,1997.7.1
10566,Tanker Dumps 39 Million Gallons Of Crude Oil In Bay Nationworld Oil Tanker Spills Millions Of Gallons Briefs Japanese Supertanker Spills 4 Million Aallons Of Crude ,1997.7.2
10577,Japan Oil Spill Estimates Lowered  Japans Worst Oil Spill Threatens Rich Fishing Area In Tokvo Oil Spill Threatens Japan Fishing Area Vastly Overestimated Japan Changes Oil Spill Estimates In ,1997.7.3
10597,Tanker Ran Aground Trying To Avoid Collision Oil Amount Much Less Than First Thought Japanese Government Gains Ground On Oil Spill Ok Help ,1997.7.4
10606,Oil Prices Plunge Amid Rumors Of Iraqi Plan ,1997.7.5
10607,Dow Rolls Toward 8000 ,1997.7.9
10608,Crude Oil Drivers Needed ,1997.7.13
10610,Crude Oil Prices Drop Heat Drives Up Natural Gas Higher Crude Oil Prices Push Up Petronas Profit ,1997.7.15
10614,TransAlaska Oil Pipeline Notes 20th Anniversary Oil Firms Vow To Freeze Fuel Prices ,1997.7.21
10617,Houston Water Tests Barred From Trial Against Chevron Alaskans Worry About Pipeline 20 Years Later ,1997.7.22
10622,Energy Futures Rise ,1997.8.5
10624,Iraq Clears New Hurdle In Renewing OilSale Plan Iraqi Export News Sends Crude Futures Tumbling ,1997.8.7
10625,Oil Prices Drop For Second Day ,1997.8.8
10628,UAE oil refinery commissioning delayed,1997.8.13
10629,Transport CoOps Back Oil Policy ,1997.8.15
10630,Opinion Facing A New Round Of Price Hikes ,1997.8.17
10634,How Was Oil Formed ,1997.8.22
10635,Thai Shell Passes 100MillionBarrel Phet Crude Production Mark,1997.8.26
10636,Finds Li Finds Of Crude Source Spill ,1997.8.27
10638,Oil Spill Bigger Than Thought Prices Rising This Oil Spill Underestimated ,1997.8.28
10640,Domestic Activities Exploration And Production ,1997.8.30
10641,Petron Clarifies Pricing Scheme ,1997.8.31
10642,Shell Exec Insists New Oil Jr Price Hikes A Must ,1997.9.1
10643,Another Oil Price Hike In The Works Energy Futures Were On The Upswing ,1997.9.3
10645,Transport CoOps Seek TaxFree Fuel Import ,1997.9.6
10646,Oil Price Hike Baseless Peso Other Asian ,1997.9.9
10647,Move To Smash Oil Cartel Gains ,1997.9.11
10648,Energy Prices Flat Before Un Votes On Iraqi Oil Deal ,1997.9.13
10649,Doe Numbers Show No Reason To Hike Petrol Prices Anew ,1997.9.15
10650,Oil Prices Drift Lower ,1997.9.16
10653,Oil Prices Edge Upward Simulated Crisis Exercise Sends Large Group To Area ,1997.9.23
10654,Oil Prices Edge Upward Estrada Revise Oil Deregulation Law Arroyo Scrutinize ,1997.9.25
10657,Are Big Oil Firms Taking Advantage Of Customers ,1997.9.27
10660,Solon Seeks Oil Price Rollback ,1997.9.28
10661,Oil Slick Found Off Platform ,1997.9.29
10663,CrudeOil Slick Reported Weather Chills Natural Gas Futures Heats Up Oil Complex Oil Spill Fouls Coastal Waters ,1997.9.30
10665,Oil Firms Must Explain Price Hikes ,1997.10.2
10667,Soybeans Rise Sharply As World Demand Rises To ,1997.10.3
10670,Crude Products Soar Amid Rising Mideast Tensions Petrol Outlets Shut Down As Sales Fall Govts Help Sought ,1997.10.4
